url,file,category,date_published,wp_origin,status,issue_class,n_md_images,component_images,portrait_lone,portrait_lone_small,portrait_grid,landscape,img_missing,img_malformed,img_unsupported,img_unreadable,notes
https://www.beauticate.com/beauty-style/beauty-tips/10-products-to-help-you-master-multitasking/,content/beauty-style/beauty-tips/10-products-to-help-you-master-multitasking/10-products-to-help-you-master-multitasking.mdx,beauty-style,2017-03-01,True,broken,portrait-render,7,0,6,6,0,1,0,0,0,0,6 small/tall portrait(s) as plain markdown → render tiny & left-flush (portrait-standard violation); 1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/2016s-fastest-growing-beauty-product-might-surprise-you/,content/beauty-style/beauty-tips/2016s-fastest-growing-beauty-product-might-surprise-you/2016s-fastest-growing-beauty-product-might-surprise-you.mdx,beauty-style,2016-12-12,True,correct,clean,1,0,0,0,0,1,0,0,0,0,1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/2019-beauty-trends-pinterest/,content/beauty-style/beauty-tips/2019-beauty-trends-pinterest/2019-beauty-trends-pinterest.mdx,beauty-style,2019-02-11,True,broken,portrait-render,14,0,13,13,0,1,0,0,0,0,13 small/tall portrait(s) as plain markdown → render tiny & left-flush (portrait-standard violation); 1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/2020s-best-beauty-advent-calendars-and-christmas-crackers/,content/beauty-style/beauty-tips/2020s-best-beauty-advent-calendars-and-christmas-crackers/2020s-best-beauty-advent-calendars-and-christmas-crackers.mdx,beauty-style,2020-11-27,True,correct,clean,9,0,0,0,3,1,0,0,0,0,3 portrait(s) inside consecutive-image grid (cover-cropped gallery); 1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/5-celeb-beauty-looks-to-copy-this-weekend-as-seen-on-instagram-2/,content/beauty-style/beauty-tips/5-celeb-beauty-looks-to-copy-this-weekend-as-seen-on-instagram-2/5-celeb-beauty-looks-to-copy-this-weekend-as-seen-on-instagram-2.mdx,beauty-style,2018-05-24,True,broken,portrait-render,6,0,2,2,2,1,0,0,0,0,2 small/tall portrait(s) as plain markdown → render tiny & left-flush (portrait-standard violation); 2 portrait(s) inside consecutive-image grid (cover-cropped gallery); 1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/5-times-taylor-swift-nailed-beauty-in-new-video/,content/beauty-style/beauty-tips/5-times-taylor-swift-nailed-beauty-in-new-video/5-times-taylor-swift-nailed-beauty-in-new-video.mdx,beauty-style,2017-08-29,True,broken,portrait-render,22,0,18,18,0,2,0,0,0,0,18 small/tall portrait(s) as plain markdown → render tiny & left-flush (portrait-standard violation); 2 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/6-celebrity-instagram-accounts-you-need-to-follow-for-party-beauty-inspo/,content/beauty-style/beauty-tips/6-celebrity-instagram-accounts-you-need-to-follow-for-party-beauty-inspo/6-celebrity-instagram-accounts-you-need-to-follow-for-party-beauty-inspo.mdx,beauty-style,2016-12-31,True,correct,clean,1,0,0,0,0,1,0,0,0,0,1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/6-common-awkward-beauty-blunders-and-how-to-avoid-them/,content/beauty-style/beauty-tips/6-common-awkward-beauty-blunders-and-how-to-avoid-them/6-common-awkward-beauty-blunders-and-how-to-avoid-them.mdx,beauty-style,2017-07-11,True,correct,clean,1,0,0,0,0,1,0,0,0,0,1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/6-spring-beauty-buys-were-coveting/,content/beauty-style/beauty-tips/6-spring-beauty-buys-were-coveting/6-spring-beauty-buys-were-coveting.mdx,beauty-style,2015-09-08,True,broken,portrait-render,7,0,3,3,0,2,0,0,0,0,3 small/tall portrait(s) as plain markdown → render tiny & left-flush (portrait-standard violation); 2 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
https://www.beauticate.com/beauty-style/beauty-tips/6-ways-to-make-your-coffee-work-harder/,content/beauty-style/beauty-tips/6-ways-to-make-your-coffee-work-harder/6-ways-to-make-your-coffee-work-harder.mdx,beauty-style,2017-07-11,True,correct,clean,1,0,0,0,0,1,0,0,0,0,1 landscape plain-md image(s) → fill body measure (acceptable); position-correctness: not verifiable (WordPress source CDN offline)
